parcel_id_clean,key_scope,parcel_id_type,parcel_display,n_findings,volumes,recommendations,record_ids
10/94/70/A,global,lr,10/94/70/A,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2901
10/94/70/B,global,lr,10/94/70/B,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2902
10/94/70/C,global,lr,10/94/70/C,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2904
10/94/70/D,global,lr,10/94/70/D,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2903
10/94/70/E,global,lr,10/94/70/E,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2898
10/94/70/F,global,lr,10/94/70/F,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2899
10/94/70/G,global,lr,10/94/70/G,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2900
10/94/72,global,lr,10/94/72,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2905
10/94/83/A,global,lr,10/94/83/A,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2915
10/94/83/B,global,lr,10/94/83/B,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2916
10/94/83/C,global,lr,10/94/83/C,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2917
10/94/83/D,global,lr,10/94/83/D,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2918
10/94/83/E,global,lr,10/94/83/E,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2919
10/94/83/F,global,lr,10/94/83/F,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2920
10/95/143/A,global,lr,10/95/143/A,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3007
10/95/143/B,global,lr,10/95/143/B,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3008
10/95/144/1,global,lr,10/95/144/1,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3009
10/95/144/2,global,lr,10/95/144/2,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3010
10/95/144/3,global,lr,10/95/144/3,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3011
10/95/144/4,global,lr,10/95/144/4,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3012
10/95/56/A,global,lr,10/95/56/A,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3003
10/95/56/B,global,lr,10/95/56/B,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3004
10/95/56/C,global,lr,10/95/56/C,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3005
10/95/56/D,global,lr,10/95/56/D,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3006
10/95/91/1,global,lr,10/95/91/1,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2991
10/95/91/2,global,lr,10/95/91/2,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2992
10/95/91/3,global,lr,10/95/91/3,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2993
10/95/98/1,global,lr,10/95/98/1,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2998
10/95/98/2,global,lr,10/95/98/2,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2999
10/95/98/3,global,lr,10/95/98/3,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3000
10/95/98/4,global,lr,10/95/98/4,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3001
10/95/98/5,global,lr,10/95/98/5,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3002
10/95/99/1,global,lr,10/95/99/1,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2994
10/95/99/2,global,lr,10/95/99/2,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2995
10/95/99/3,global,lr,10/95/99/3,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2996
10/95/99/4,global,lr,10/95/99/4,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2997
10038,global,lr,10038,1,1,Revoke,annex_05_nairobi_city_council_0622
1012,global,plot,1012,1,1,Revoke,annex_32_kenya_ferry_services_mombasa_4226
1013,global,plot,1013,1,1,Revoke,annex_32_kenya_ferry_services_mombasa_4226
10353,global,lr,10353,1,1,Revoke,annex_43_ministry_of_trade_and_industry_4004
10424,global,lr,10424,1,1,Revoke,annex_43_ministry_of_trade_and_industry_4008
10425,global,lr,10425,1,1,Revoke,annex_43_ministry_of_trade_and_industry_4013
10754,global,lr,10754,1,1,Revoke,annex_46_ministry_of_livestock_and_fisheries_development_4090
11/120,global,lr,11/120,1,1,Revoke,annex_08_nakuru_municipality_0982
11/120A,global,lr,11/120A,1,1,Revoke,annex_08_nakuru_municipality_1160
11/120B,global,lr,11/120B,1,1,Revoke,annex_08_nakuru_municipality_1161
11/155,global,lr,11/155,1,1,Revoke,annex_36_kenya_ports_authority_mombasa_4272
11/16,global,lr,11/16,1,1,Revoke,annex_08_nakuru_municipality_1162
11/166,global,lr,11/166,1,1,Revoke,annex_08_nakuru_municipality_0984
11/20,global,lr,11/20,2,1,Revoke,annex_08_nakuru_municipality_0985|annex_08_nakuru_municipality_1163
11/61,global,lr,11/61,2,1,Revoke,annex_08_nakuru_municipality_0986|annex_08_nakuru_municipality_1164
11/646,global,lr,11/646,2,1,Revoke,annex_08_nakuru_municipality_0987|annex_08_nakuru_municipality_1165
11/66,global,lr,11/66,1,1,Revoke,annex_08_nakuru_municipality_0983
11/663,global,lr,11/663,1,1,Revoke,annex_08_nakuru_municipality_1166
11/664,global,lr,11/664,1,1,Revoke,annex_08_nakuru_municipality_1166
11/665,global,lr,11/665,1,1,Revoke,annex_08_nakuru_municipality_1166
11/666,global,lr,11/666,1,1,Revoke,annex_08_nakuru_municipality_1166
11/667,global,lr,11/667,1,1,Revoke,annex_08_nakuru_municipality_1166
11/668,global,lr,11/668,1,1,Revoke,annex_08_nakuru_municipality_1166
11/669,global,lr,11/669,1,1,Revoke,annex_08_nakuru_municipality_1166
11/670,global,lr,11/670,1,1,Revoke,annex_08_nakuru_municipality_1166
11/671,global,lr,11/671,1,1,Revoke,annex_08_nakuru_municipality_1166
11/672,global,lr,11/672,1,1,Revoke,annex_08_nakuru_municipality_1166
11/673,global,lr,11/673,1,1,Revoke,annex_08_nakuru_municipality_1166
11/674,global,lr,11/674,1,1,Revoke,annex_08_nakuru_municipality_1166
11/675,global,lr,11/675,1,1,Revoke,annex_08_nakuru_municipality_1166
11/679,global,lr,11/679,1,1,Revoke,annex_08_nakuru_municipality_1167
