province,district,station,forest,legal_notice,name_of_excision,excision_area_ha,bp_no,year,purpose,request,beneficiary,status,legal_procedure,recommendation,remarks,source_page,flag_source_csv
Rift Valley,Trans Nzoia,Saboti,Sikhendu,,Sikhendu,804.1,Not available,1999,Not known,,Not koown.,Area not occupied.,Illegal,Revoke,The forest is intact,23,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Kajiado,Loitokitok,Loitokitok,,Mrs. Siyote,6.1,Not available,2001,Farming,,Mrs. Siyote,Occupied,Illegal,Revoke,Area allocated by DC Kajiado.,23,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Baringo,Kimojoch,Kimojoch,,Extension of Sacho Girls High School,47.71,175/302,2002,Eco-tourism,,Sacho Girls High School,Already taken position of the area.,Illegal,Revoke,Area not developed. Also Sacho High School is occupying 18.4 hectares.,23,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Baringo,Ol'Arabel,Ol'Arabel,,Ol'Arabel,6.273,Not available,1993,Settlement,,Landless People,Partially Settled,Illegal,Legalise excision occupied,Area Developed,23,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Baringo,Mutarakwa,Mutarakwa,,Mutarakwa,4.50,Not available,1995,Tenges Health Centre,,Local community,Occupied,Illegal,Legalise excision,Area Developed,23,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Baringo,Mutarakwa,Mutarakwa,,Mutarakwa,5.45,Not available,1995,School Development,,Local community,Occupied,Illegal,Legalise excision,Area Developed,23,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Baringo,Tenges,Mutarakwa,,Tenges Trading Centre,18.60,Not available,1995,"Business plots, Cereals Board, Divisional HQs, KPTC tree nursery.",,Baringo County Council,Occupied,Illegal,Legalise excision,Area Developed,23,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Baringo,Tenges,Mutarakwa,,Tenges Secondary School,5.45,Not available,1995,Tenges Secondary School,,Tenges Secondary School,Occupied,Illegal,Legalise excision,Area Developed,23,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Keiyo,Kaptagat,Kaptagat,,Kaptagat,32.37,Not available,1998,Divisional Hqs,,Government,Not occupied,Investigate,Revoke,Most of the area is not developed,25,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Keiyo,Kipkabus,Kipkabus,,Kipkabus/Kibonge,475,Not available,1998,Settlement,,Landless People,Partially occupied,Illegal,Revoke,The beneficiaries Have not surrendered their Title deeds to the Forest Department,25,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Kencho,Londiani,Mt. Londiani,,Londiani,17.37,Not available,1992,Extension of Londiani Town,,Londiani Town Council,Area not occupied,Illegal,Revoke,Area is still forestland.,25,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Kencho,Kericho,S.W. Mau,,Saosa,74.72,175/348,1994,Agricultural development,,Kencho Rural Multi-purpose Co-operative society,Area under tea,Illegal,Revoke,Area planted with Tea. A license at Market value should be issued.,25,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Kencho,Kencho,S.W. Mau,,S W. Mau,5.14,175/350,1994,Agricultural development,,Kencho Rural Multi-purpose Co-operative society,Area under tea,Illegal,Revoke,Area planted with Tea. A license at Market value should be issued,25,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Kencho,Kencho,S W. Mau,,S W. Mau,292.97,175/351,1994,Agricultural development,,Kencho Rural Multi-purpose Co-operative society,Area under tea,Illegal,Revoke,Area planted with Tea. A license at Market value should be issued,25,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Kencho,Kensoi,W.Mau,,Frankways Sawmills,10,Not available,1995,Construction of a Sawmill,,Hon Franklin Bett,Area occupied,Illegal,Revoke,The area is too big for a Saw Mill,25,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Koibatek,Sabatia,Mount Londiani,,Business plots along Sabatia Railway Station.,19.98,Not available,1993,Business plots,,Not known,Occupied,Illegal,Legalize,Area is settled. Agricultural plots of approximately 2.5 ha were established,25,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Koibatek,Maji Mazuri,Mount Londiani,,Makutano Police Station,4.00,Not available,1993,Police Station,,Police Department,Occupied,Legalize,Revoke,The area is developed,26,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Laikipia,Marmanet,Marmanet,,Marmanet,4.1,Not available,1992,School Development,,Gaitero Primary School,School established,Illegal,Finalize the de-gazettement,School is built,26,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Laikipia,Mukogondo,Mukogondo,,Mukogondo,15.000,Not available,1998,Settlement,,Landless People,Squatters in the Forest,Illegal,Revoke Thus is a catchment area,The land is still forestland,26,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Lugari,Turbo,Turbo,,Mautuma Settlement,1242.00,Not available,1994,Settle landless people,,Landless People,Occupied,Investigate,Review with a view to exclude ecological sensitive areas,Area is already settled,26,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Marakwet,Cheptongei,Kapchemutwa.,,"Chebara, Kapkoros",73,Not available,1992,Expansion of Kapsowa Town,,Marakwet County Council,Occupied,Illegal,Legalise and exclude unsettled areas,The land is set aside for 22 families displaced by Kapsowar district Hqs.The area is partially settled,26,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Nakuru,Dundon,Bahati,,Bahati,84.9,175/340,1994,Market expansion,,Nakuru County Council,Plots issued,Illegal,Investigate,The area is settled,26,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Nakuru,Keringet,S W Mau,,S W. Mau,1687.2,175/360,1997,Settlement,,Landless People,Not fully settled,Illegal,Revoke,Not landless settled,26,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Nandi,North Nandi,North Nandi,,Teressia,12.95,Not available,1993,Settlement,,5 displaced individuals.,Not occupied,Illegal,Revoke,Area is settled.,26,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Nandi,South Nandi,South Nandi,,AIC Chebisas,44.03,Not available,1996,School Development,,Local community,Partially occupied,Illegal,Legalise area downwards including the area under Tea Zone,An area of 59.30Ha was surveyed by the school and thus exceeding the authorized area by 15 hectares,27,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Nandi,South Nandi,South Nandi,,Kobujoi,12.14,Not available,1996,Expansion of Kobujoi town,,Nandi County Council,Occupied,Illegal,Legalise excision,The area is built,27,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Nandi,North Nandi,North Nandi,,North Nandi,20.21,Not available,1996,Ngerek dispensary and farming,,Local community,Not occupied,Illegal,Revoke,The area is still Forest. The proposed amenities are not yet constructed.,27,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Nandi,North Nandi,North Nandi,,Teressia,9.36,Not available,1997,Settlement,,Two individuals,Not occupied,Illegal,Revoke,Area is settled.,27,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Trans Nzoia,Katalale,Kitalare,,Kitalale,1609.90,Not available,1994,Maize seed development,,Undeserving influential people.,Area occupied,Illegal,Revoke,Area is settled.,27,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,,Trans Nzoia,Mount Elgon,,Exttension of Suam Town,112.86,Not available,1997,Establish Suam Town.,,County Council,Area not occupied.,Illegal,Revoke,Authority to extend the town Has not been granted The area remains forest,27,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Trans Nzoia,Kitale,Kitale,,Kitale Municipal Expansion,32.37,Not available,1998,Kitale municipal development programmes,,Kitale Municipal council,Area not occupied.,Illegal,Revoke,The area is not developed.,27,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Trans Nzoia,Kitale,Kitale,,Kitale Municipal Expansion,6.07,Not available,1998,Kitale municipal development programmes,,Kitale Municipal council,Area not occupied,Illegal,Revoke,The area is not developed,27,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Trans Nzoia,Kitale,Kitale,,Kitale Municipal Expansion,6.07,Not available,1998,Kitale municipal development programmes,,Kitale Municipal council,Area not occupied,Illegal,Revoke,The area is not developed,28,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Trans Nzoia,Kitale,Kitale,,Kitale Municipal Expansion,25.7,Not available,1998,Kitale municipal development programmes,,Kitale Municipal council,Area not occupied,Illegal,Revoke.,Area is settled,28,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Uasin-Gishu,Eldoret,Eldoret,,Eldoret,3.13,175/315,1991,Industrial development,,M/s Rodah Bett and others,Not occupied,Illegal,Revoke,Area is settled,28,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Uasin-Gishu,Eldoret,Eldoret,,Eldoret,16,Not available,1994,Expansion of cemetery,,Eldoret county council,Not occupied,Illegal,Revoke.,Area is settled,28,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Uasin-Gishu,Cengalo,North Tinderet,,Cengalo,711.7,Not available,1994,Settle landless people,,Landless People,Not occupied,Illegal,Revoke,An area of 12.14 hectares is being developed for GSU Company The rest of the area is intact,28,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,West Pokot,Kapenguria,Lelan,,Kaprech Primary School,10.00,Not available,1998,Construction of Kaprech Primary School,,Kaprech Primary School,Not occupied,Illegal,Revoke,The school is not yet built,28,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Baringo,Katimok,Katimok,,Katimok,13.27,Not available,1988,School Development,,Local community,Occupied,Illegal,Legalise the excision,The area is occupied.,28,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Baringo,Katimok,Katimok,,Katimok,6.79,Not available,1988,Divisional Hqs,,Government,Occupied,Illegal,Legalise,The area is occupied.,28,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Baringo,Katimok,Katimok,,Katimok,8.91,Not available,1988,School Development,,Local community,Occupied,Illegal,Legalise,The area is occupied.,28,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Baringo,Katimok,Katimok,,Katimok,5.01,Not available,1988,Kabartojo Hospital,,Local community,Occupied,Illegal,Legalise,The area is occupied.,28,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Kajiado,Ngong,Ngong,,Ngong Hills,19.16,Not available,1988,Settlement,,"Puler, Joyce Kimonjuno and Ole Mpaayei",Occupied,Illegal,Revoke,The forest was granted by D C Kajiado,29,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Nandi,Kimondi,Ururu,,Ururu,18.53,Not available,1988,Farming,,Dr Yego,Not occupied,Illegal,Revoke,Tea farming established,29,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Narok,Transmara,Trans-Mara,,Kiptagish,937.70,180/213,1988,Farming,,Daniel Toroituch Arap Moi,Occupied,Illegal,Revoke,Tea farming and factory established,29,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Kajiado,Ololua,Ololua,,Nkaiseri Primary School,6.07,Not available,1992,School,,Local communities,Occupied,Illegal,Legalise,Primary school established,29,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Kajiado,Ololua,Ololua,,Nkaimuruny a Primary School,10.0,Not available,1992,School,,Local communities,Occupied,Illegal,Legalise,Primary school established,29,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Narok,Olposmoru,Olposmoru,,Olposmoru,"20,115",Not available,1975,"Exchange with 45,744 ha of Masai Mau County Council forest",,Local residents,Occupied,Illegal,Legalise excision and gazette the exchange,Settlement was established,29,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Keiyo,Kipkabus,Kipkabus,,Kipkabus,95.46,175/282,1987,Exchange with Mr Kandie,,Mr Kandie and Forest Department,Occupied,Illegal,Revoke,The area was allocated by commissioner of lands,29,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Keiyo,Kipkabus,Kipkabus,,Kipkabus,3916.5,Not available,1986,Settlement Area bought from EATEC for pulpwood development,,Landless People,Occupied,Illegal,Legalise exclude ecologically sensitive areas,The area is settled,29,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Nakuru,Elburgon,Eastern,,Eastern Mau,65.16,Not available,1983,Extension of Elburgon township,,Elburgon Urban Council,Not occupied,Illegal,Revoke,The area is still forest,29,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Trans Nzoia,Kitale,Kitale,,Kitale ASK show ground extension,19.69,175/358,1981,Kitale Municipal development programmes,,ASK,Area not occupied.,Illegal,Revoke,The area is still forest,29,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Keiyo,Elgeyo,Kapchemutwa,,Sing'ore girls,9.96,180/237,1979,School Development,,Sing'ore Girls Sec. School,Occupied,Illegal,Legalise excision,The area is fenced but slightly developed,29,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Oloitoktok,Oloitoktok,Oloitoktok,,Oloitokitok sec. School,43.56,175/275,1978,School Development,,Oloitoktok community,School already developed,Illegal,Review the proposal and Legalise excision,The area is occupied.,30,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Laikipia,Marmanet,Marmanet,,Marmanet,1773.3,175/226,1975,Settlement,,Landless People,Fully settled,Illegal,Legalise and exclude ecological sensitive areas.,The area is settled,30,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Keiyo,Sabor,Kipssup,,Kesup,378.2,Not available,1967,Settlement,,Landless People,Occupied,Illegal,Legalise exclude ecologically sensi-tve areas.,The area is settled.,30,annex_02_forest _excisions _1962 _to_ date.csv
Western,Busia,Sio Port,Wanga,,Wanga,2,Not available,1998,To settle former Minister the late Hon. Okondo.,,Family of the late Hon. Okondo.,Area is developed and settled.,Illegal,Revoke,,30,annex_02_forest _excisions _1962 _to_ date.csv
Western,Kakamega,Kakamega,Kakamega,,Kakamega Show Ground,40.47,180/234,1992,Relocation of the ASK Show ground from Bukhungu.,,ASK Kakamega Branch.,Area partially occupied.,Illegal,Revoke,,30,annex_02_forest _excisions _1962 _to_ date.csv
Western,Kakamega,Kakamega,Kakamega,,Kisaina,7.5,Not available,1993,Relocation of Kisaina Primary School from the middle of the forest to the boundary.,,Kisaina Primary School,Area occupied.,Illegal,Legalise,The school is built already,30,annex_02_forest _excisions _1962 _to_ date.csv
Western,Kakamega,Kakamega,Kakamega,,Mr. Shikondi,3.48,180/235,1995,Compensation,,Mr Shukondi who was displaced by expansion of Mukumu Girls,Area already occupied,Illegal,Legalise,The area is settled,31,annex_02_forest _excisions _1962 _to_ date.csv
Western,Lugari,Turbo,Turbo,,Mautuma Settlement,1214.06,Not available,1994,To settle Squatters,,Landless People,Area already occupied,Illegal,"Authenticate the list of allottees, set aside ecologically sensitive areas and formalize the excision",An area of 1577.86 hectares was surveyed and settled,31,annex_02_forest _excisions _1962 _to_ date.csv
Western,Mt Elgon,Kaberua,Mt Elgon,,Kapsokwony Township Extension,40.47,Not available,1998,Extension Kapsokwony Township,,Kapsokwony Town Council,Area not occupied.,Illegal,Revoke,The area is not occupied,31,annex_02_forest _excisions _1962 _to_ date.csv
Western,Vihiga,Kibiri,Kakamega,,Shaviringa,36,Not available,1992,Compensation,,Person displaced by expansion of Mudete Tea Factory,Area already occupied,Illegal,Legalise the excision,The area is settled,31,annex_02_forest _excisions _1962 _to_ date.csv
Western,Kakamega,Malava,Kakamega,,Bahai,0.405,Not available,1989,Compensation,,Bahai centre for giving 1 acre for construction of DO's house,Area not occupied.,Illegal,Revoke,The area is not occupied,31,annex_02_forest _excisions _1962 _to_ date.csv
Western,Vihiga,Kibiri,Kakamega,,Ishiru,134.8,180/215,1988,Compensation,,Persons displaced by Mbale District Headquarters,Area already occupied is 98.8ha,Illegal,Revise the boundary plan to exclude the 36 hectares given in Shaviringa and finalize the de-gazettement of 98.8 hectares in Ishiru.,An area of 98.8 hectares is settled,31,annex_02_forest _excisions _1962 _to_ date.csv
Western,Kakamega,Kakamega,Kakamega,,Virhembe,17.6,180/209,1987,Compensation,,Persons displaced during expansion of Mukumu Girls,Area already occupied,Illegal,Finalize the de-gazettement at Legalise,The area is settled,32,annex_02_forest _excisions _1962 _to_ date.csv
Western,Kakamega,Kakamega,Kakamega,,Shikusa Prison Kakamega,4.22,Not available,1981,Meant for juvenile prisoners,,Shikusa Prison,Area partly occupied,Illegal,Review the lease Legalise arrangements and area to be leased,Reduce the area being utilized by Kakamega Prisons,32,annex_02_forest _excisions _1962 _to_ date.csv
Western,Vihiga,Kibiri,Kakamega,,Kaptik,9.476,180/218,1978,Construction of Kaptik Secondary School,,Kaptik Secondary School,Area already occupied,Illegal,Legalise,The school is already built,32,annex_02_forest _excisions _1962 _to_ date.csv
Western,Mt Elgon District,Kaberua,Mt Elgon,,Chepyuk,4064.0,Not available,1999,Settlement of squatters,,Landless People,Area partially settled,Illegal,Investigate excision with a view to settling genuine squarters,The area is already settled.,32,annex_02_forest _excisions _1962 _to_ date.csv
Central,Nyeri,Gathuuru,Mt Kenya,,Gathuuru,744.4,175/392,1993,Settlement of squatters,,Unknown,Not occupied,Illegal,Revoke,The area is not settled,32,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kirinyaga,Njukini West,Njukini West,,Bishop Gitari Njukini Academy,13.41,175/400,1983,School,,Bishop Gitari Njukini Academy,Occupied,Illegal,Legalise the excision,A school under the management of A.C.K is established,32,annex_02_forest _excisions _1962 _to_ date.csv
Central,Kiambu,Kinale,Kikuyu escarpment,,African inland Mission exchange,4.45,175/381,1960,Exchange with 74.07 ha in King'atua,,AIC Mission,Not occupied,Illegal,Legalise the exchange,Thus an exchange with 74.08 hectares of forests known as Kigatua Forest released to Forest Department by A.I.M Kijabe,33,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Laikipia,Rumuruti,Lariak,,Rumuruti,149.1,175/222,1976,Exchange 127.3 ha neighbouring Lariak forest reserve,,Mr Mwendia and Forest Department,Not occupied,Illegal,Revoke,The exchange transaction is not complete,33,annex_02_forest _excisions _1962 _to_ date.csv
,,,,,,75243.6,,,,,,,,,Total,33,annex_02_forest _excisions _1962 _to_ date.csv
Rift Valley,Uasin Gishu,Kapsaret,Kapsaret,140 of 2001,,1194.2,,,Settlement,Ministry of Lands,Not Known,Not occupied. Area heavily degraded. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",The area is not settled,667,annex_16_excisions_challenged_in_court.csv
Rift Valley,Uasin Gishu,Nabkoi,Nabkoi,141 of 2001,,37.89,,,School,Individual,Solani Primary School,Partially occupied. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",A Private school is being developed A license should be issued,667,annex_16_excisions_challenged_in_court.csv
Rift Valley,Nakuru,"Sururu, Likia, Elbugon",Eastern Mau,142 of 2001,,35301.01,,,Settlement,Ministry of Lands,Landless People,Partially occupied. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",The area is settled,667,annex_16_excisions_challenged_in_court.csv
Rift Valley,Nandi,South Nandi,South Nandi,143 of 2001,,10.93,,,Settlement,Ministry of Lands,Individual,Occupied. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",The area is not settled,667,annex_16_excisions_challenged_in_court.csv
Rift Valley,Koibatek,Koibatek,Mt. Kibunga,144 of 2001,,124.9,,,Extension of Kibunga Township,Ministry of Lands,Not Known,Not occupied. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",The area is settled,667,annex_16_excisions_challenged_in_court.csv
Rift Valley,Nakuru,Molo,Molo East,145 of 2001,,901.62,,,Settlement,Ministry of Lands,Landless People,Occupied. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",The area is settled,667,annex_16_excisions_challenged_in_court.csv
Rift Valley,Uasin Gishu,Cegalo,Northern Tinderet,146 of 2001,,788.3,,,Settlement,Ministry of Lands,Landless People,Occupied. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",This area is locally known as Cheboroo Farm and is settled,667,annex_16_excisions_challenged_in_court.csv
Central,Nyeri,Hombe,Mt. Kenya,147 of 2001,,7170,,,Settlement,Ministry of Lands,Not Known,Not occupied. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",The area is not settled.,668,annex_16_excisions_challenged_in_court.csv
Rift Valley,Nakuru & Buret,"Baragat, Keringei, Saino",South West & West Mau,148 of 2001,,24109.01,,,Settlement,Ministry of Lands,Landless People,Partially occupied. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",The area is settled.,668,annex_16_excisions_challenged_in_court.csv
Central,Nyeri,Ragati,Mt. Kenya,149 of 2001,,912.1,,,Ndathi Settlement,Ministry of Lands,Landless People,Occupied. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",The area is settled.,668,annex_16_excisions_challenged_in_court.csv
Central,Nyeri,Ragati,Mt. Kenya,150 of 2001,,196.05,,,Magutu Settlement,Ministry of Lands,Landless People,94 Ha settled. 102 ha not occupied EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",The area is settled.,668,annex_16_excisions_challenged_in_court.csv
Rift Valley,Laikipia,Marmanet,Marmanet,151 of 2001,,2837.4,,,Marmanet Settlement,Ministry of Lands,Landless People,Partially occupied. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",The area is settled.,668,annex_16_excisions_challenged_in_court.csv
Rift Valley,Nakuru,Menengai,Nakuru,152 of 2001,,270.5,,,Settlement,Ministry of Lands,Not known,Not occupied. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",The area us not occupied.,668,annex_16_excisions_challenged_in_court.csv
Rift Valley,Kericho,Kericho,Western Mau,153 of 2001,,323.7,,,Settlement,Ministry of Lands,Not known,Not occupied. EIA not done.,,"Subject to court ruling, revoke the excisions and titles already issued and maintain the areas as forests/catchment areas but put into account the position of the Ogiek as a recognized forest inhabitants and any party who may have finalized the exchange of their land with the forest department",The area is not occupied,668,annex_16_excisions_challenged_in_court.csv
Central,Nyeri,Gathiuru,Gathiuru,175/392,,744.4,,1993,Settlement of squatters,Procedural,Unknown,Not occupied,,Revoke,,669,annex_17_proposed_excisions_regular_process_not_finalised.csv
Central,Kirinyaga,Njukiini West,Bishop Gitari Njukiini Academy,175/400,,13.41,,1983,School,Procedural,Bishop Gitari Njukiini Academy,Occupied,,Finalize the excision,,669,annex_17_proposed_excisions_regular_process_not_finalised.csv
Central,Kiambu,Kinale,African inland Mission exchange,175/381,,4.45,,1960,Exchange with 74.07 ha in King'atua,Procedural,AIC Mission,Not occupied,,Formalize the exchange,,669,annex_17_proposed_excisions_regular_process_not_finalised.csv
Rift Valley,Laikipia,Rumuruti,Rumuruti,175/222,,149.1,,1976,Exchange 127.3 ha neighbouring Lariak forest reserve,Procedural,Mr. Mwendia and Forest Department.,Not occupied,,Revoke,,669,annex_17_proposed_excisions_regular_process_not_finalised.csv
